iter	Passed	Remaining
407	6650	9649
408	6665	9632
409	6680	9613
410	6697	9597
411	6713	9581
412	6728	9563
413	6744	9546
414	6760	9529
415	6776	9513
416	6794	9499
417	6810	9482
418	6824	9463
419	6843	9450
420	6856	9429
421	6872	9412
422	6889	9397
423	6903	9378
424	6920	9362
425	6935	9345
426	6952	9329
427	6962	9305
428	6981	9291
429	6995	9273
430	7010	9255
431	7027	9239
432	7041	9220
433	7060	9207
434	7072	9186
435	7087	9168
436	7102	9150
437	7117	9132
438	7132	9115
439	7147	9097
440	7163	9079
441	7180	9064
442	7199	9052
443	7215	9035
444	7231	9018
445	7247	9002
446	7265	8988
447	7282	8972
448	7297	8955
449	7314	8939
450	7328	8920
451	7344	8904
452	7361	8888
453	7375	8869
454	7392	8854
455	7407	8837
456	7424	8821
457	7442	8807
458	7460	8792
459	7479	8780
460	7494	8763
461	7509	8744
462	7524	8727
463	7539	8709
464	7557	8695
465	7574	8679
466	7592	8665
467	7610	8650
468	7625	8633
469	7640	8615
470	7656	8599
471	7675	8586
472	7689	8567
473	7707	8553
474	7723	8536
475	7738	8519
476	7757	8505
477	7774	8490
478	7788	8471
479	7805	8456
480	7821	8439
481	7839	8424
482	7854	8407
483	7870	8390
484	7884	8372
485	7899	8354
486	7919	8342
487	7937	8327
488	7952	8310
489	7971	8296
490	7988	8281
491	8004	8264
492	8020	8248
493	8038	8233
494	8053	8216
495	8068	8198
496	8085	8183
497	8101	8166
498	8116	8149
499	8132	8132
500	8149	8116
501	8163	8098
502	8178	8081
503	8195	8064
504	8211	8049
505	8232	8037
506	8248	8020
507	8267	8006
508	8282	7990
509	8300	7975
510	8317	7959
511	8333	7943
512	8347	7924
513	8364	7908
514	8380	7892
515	8395	7874
516	8410	7857
517	8424	7839
518	8438	7820
519	8452	7801
520	8466	7783
521	8485	7770
522	8499	7751
523	8517	7737
524	8535	7722
525	8550	7704
526	8566	7688
527	8581	7671
528	8598	7656
529	8614	7639
530	8630	7622
531	8645	7605
532	8659	7587
533	8678	7572
534	8692	7555
535	8708	7538
536	8727	7524
537	8743	7508
538	8758	7491
539	8774	7474
540	8789	7457
541	8806	7441
542	8822	7425
543	8840	7410
544	8853	7391
545	8868	7374
546	8885	7358
547	8902	7342
548	8918	7326
549	8935	7311
550	8953	7295
551	8968	7278
552	8983	7261
553	9000	7246
554	9018	7231
555	9036	7216
556	9055	7202
557	9070	7184
558	9086	7168
559	9101	7151
560	9116	7134
561	9133	7118
562	9147	7100
563	9162	7082
564	9175	7064
565	9190	7047
566	9205	7030
567	9224	7016
568	9237	6997
569	9253	6980
570	9270	6965
571	9286	6948
572	9304	6933
573	9318	6915
574	9333	6898
575	9350	6882
576	9365	6865
577	9384	6851
578	9401	6835
579	9417	6819
580	9433	6803
581	9448	6785
582	9463	6768
583	9479	6752
584	9495	6736
585	9512	6720
586	9529	6704
587	9546	6689
588	9564	6674
589	9581	6658
590	9595	6640
591	9608	6622
592	9624	6605
593	9640	6589
594	9658	6574
595	9675	6558
596	9692	6543
597	9706	6525
598	9720	6507
599	9736	6491
600	9751	6474
601	9768	6458
602	9786	6442
603	9802	6426
604	9817	6409
605	9835	6394
606	9853	6379
607	9867	6362
608	9883	6345
609	9898	6328
610	9915	6312
611	9931	6296
612	9949	6281
613	9969	6267
614	9984	6250
615	10002	6235
616	10018	6219
617	10033	6201
618	10049	6185
619	10064	6168
620	10079	6151
621	10095	6135
622	10110	6118
623	10124	6100
624	10138	6083
625	10155	6067
626	10169	6049
627	10183	6032
628	10199	6015
629	10216	6000
630	10231	5983
631	10249	5968
632	10269	5954
633	10286	5938
634	10300	5920
635	10315	5904
636	10334	5889
637	10348	5871
638	10364	5855
639	10380	5838
640	10394	5821
641	10408	5804
642	10425	5788
643	10441	5772
644	10461	5757
645	10474	5740
646	10490	5723
647	10507	5707
648	10522	5690
649	10541	5676
650	10557	5660
651	10572	5643
652	10590	5627
653	10605	5610
654	10619	5593
655	10634	5576
656	10651	5560
657	10670	5546
658	10686	5529
659	10700	5512
660	10715	5495
661	10731	5479
662	10746	5462
663	10762	5445
664	10779	5430
665	10792	5412
666	10806	5395
667	10821	5378
668	10838	5362
669	10851	5344
670	10866	5327
671	10881	5311
672	10895	5294
673	10911	5277
674	10931	5263
675	10948	5247
676	10967	5232
677	10983	5216
678	10997	5198
679	11011	5181
680	11024	5164
681	11042	5148
682	11058	5132
683	11078	5118
684	11096	5102
685	11112	5086
686	11126	5069
687	11143	5053
688	11160	5037
689	11177	5021
690	11192	5004
691	11207	4988
692	11224	4972
693	11239	4955
694	11255	4939
695	11271	4923
696	11285	4906
697	11302	4890
698	11318	4874
699	11332	4856
700	11347	4840
701	11361	4822
702	11377	4806
703	11396	4791
704	11411	4774
705	11424	4757
706	11442	4742
707	11459	4726
708	11475	4710
709	11495	4695
710	11508	4677
711	11524	4661
712	11538	4644
713	11555	4628
714	11571	4612
715	11589	4596
716	11607	4581
717	11624	4565
718	11641	4549
719	11659	4534
720	11679	4519
721	11696	4503
722	11712	4487
723	11720	4468
724	11738	4452
725	11754	4436
726	11769	4419
727	11784	4402
728	11802	4387
729	11819	4371
730	11834	4354
731	11850	4338
732	11868	4323
733	11883	4306
734	11899	4290
735	11915	4274
736	11931	4257
737	11947	4241
738	11963	4225
739	11982	4209
740	12000	4194
741	12017	4178
742	12033	4162
743	12047	4145
744	12063	4129
745	12079	4113
746	12095	4096
747	12113	4080
748	12128	4064
749	12144	4048
750	12162	4032
751	12180	4016
752	12194	4000
753	12213	3984
754	12229	3968
755	12245	3952
756	12265	3937
757	12279	3920
758	12295	3903
759	12312	3888
760	12329	3872
761	12345	3855
762	12361	3839
763	12376	3823
764	12392	3806
765	12408	3790
766	12423	3774
767	12437	3757
768	12451	3740
769	12465	3723
770	12479	3706
771	12496	3690
772	12512	3674
773	12529	3658
774	12546	3642
775	12562	3626
776	12579	3610
777	12596	3594
778	12613	3578
779	12626	3561
780	12643	3545
781	12658	3528
782	12677	3513
783	12692	3497
784	12712	3481
785	12726	3464
786	12742	3448
787	12758	3432
788	12773	3416
789	12792	3400
790	12807	3383
791	12822	3367
792	12837	3351
793	12852	3334
794	12869	3318
795	12884	3302
796	12900	3285
797	12916	3269
798	12930	3252
799	12946	3236
800	12959	3219
801	12974	3203
802	12988	3186
803	13005	3170
804	13021	3154
805	13035	3137
806	13051	3121
807	13067	3105
808	13081	3088
809	13095	3071
810	13110	3055
811	13125	3038
812	13140	3022
813	13155	3006
814	13173	2990
815	13190	2974
816	13205	2957
817	13219	2941
818	13233	2924
819	13248	2908
820	13266	2892
821	13282	2876
822	13297	2859
823	13312	2843
824	13327	2827
825	13344	2811
826	13359	2794
827	13372	2777
828	13388	2761
829	13404	2745
830	13421	2729
831	13435	2712
832	13450	2696
833	13469	2680
834	13487	2665
835	13503	2649
836	13517	2632
837	13530	2615
838	13547	2599
839	13567	2584
840	13581	2567
841	13596	2551
842	13615	2535
843	13630	2519
844	13647	2503
845	13660	2486
846	13677	2470
847	13691	2454
848	13707	2437
849	13724	2422
850	13741	2405
851	13757	2389
852	13772	2373
853	13787	2357
854	13804	2341
855	13821	2325
856	13837	2308
857	13853	2292
858	13871	2276
859	13888	2260
860	13905	2244
861	13921	2228
862	13936	2212
863	13950	2195
864	13964	2179
865	13981	2163
866	13996	2147
867	14011	2130
868	14025	2114
869	14042	2098
870	14060	2082
871	14076	2066
872	14094	2050
873	14109	2034
874	14124	2017
875	14141	2001
876	14156	1985
877	14171	1969
878	14186	1952
879	14201	1936
